Group,Car Type,Engine Size (L),Price ($),Horsepower (hp),Weight (kg)
Brand A,9SW,4,9000,57,997
Brand A,L66,4,10500,63,956
Brand A,J78,4,8600,64,844
Brand A,35G,4,10500,70,880
Brand A,KG1,4,12500,72,968
Brand A,FT7,4,10500,75,990
Brand A,4CC,4,14100,71,1436
Brand A,AZ3,4,14100,80,1454
Brand A,MB8,4,13500,84,1121
Brand A,Q30,4,13500,84,1073
Brand A,BA2,4,11000,87,1202
Brand A,1AA,4,12000,88,1331
Brand A,07P,6,19800,90,1396
Brand A,65V,6,19800,92,1275
Brand A,2CV,6,19800,93,1307
Brand A,SR3,6,22500,95,1703
Brand A,31F,4,12200,96,1035
Brand A,LL2,4,15600,103,1235
Brand A,GT9,6,22500,104,1548
Brand A,AH2,6,25500,126,1626
Brand A,23D,6,12300,133,1535
Brand A,KR5,8,29800,136,1907
Brand A,88H,8,27800,147,1843
Brand A,E33,8,35870,150,1861
Brand A,ZX6,8,37100,159,2024
Brand A,M20,8,31800,155,1835
Brand A,90S,8,34000,160,1624
Brand A,7FZ,8,31000,183,1400
Brand A,75T,8,38300,175,1875
Brand A,T63,8,44000,215,1940
