Group,Car type,Price ($),Horsepower (hp),Weight (kg),Engine Size (L)
Brand A,1AA,11100,80,970,4
Brand A,BA2,23100,173,1550,6
Brand A,4CC,23100,110,1368,6
Brand A,AZ3,35000,158,1662,8
Brand A,23D,15100,90,1202,4
Brand A,31F,23100,105,1541,6
Brand A,90S,15100,84,1186,4
Brand A,J78,35000,150,1755,8
Brand A,35G,35000,167,1971,8
Brand A,7FZ,25000,105,1754,6
Brand A,07P,35000,145,1998,8
Brand A,65V,15100,90,1328,4
Brand A,2CV,40000,175,2009,8
Brand A,KR5,28500,130,1728,8
Brand A,88H,30500,145,1746,8
Brand A,T63,11200,88,1078,4
Brand A,E33,11200,88,1188,4
Brand A,SR3,11200,88,1172,4
Brand A,ZX6,35000,158,1864,8
Brand A,9SW,30700,130,1844,8
Brand A,L66,25000,100,1701,6
Brand A,KG1,30500,140,1897,8
Brand A,FT7,25000,100,1498,6
Brand A,MB8,30700,130,1577,8
Brand A,Q30,8500,52,916,4
Brand A,LL2,9800,68,970,4
Brand A,75T,9800,63,923,4
Brand A,M20,9800,70,954,4
Brand A,GT9,17300,110,1226,6
Brand A,AH2,15100,90,1205,4
